Year,Month,Day,Hour,Minute,DHI,DNI,GHI,DHI_1,DNI_1,GHI_1,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed
2011,1,1,0,30,0,0,0,0,0,0,3,15.60433444,991.2418823,44.27317466,174.4832479,1.978425392,0,32.15282822,2.022107363
2011,1,1,1,30,0,0,0,0,0,0,4,15.34793474,990.6013794,47.83058483,164.3016876,2.007537948,0,22.50823975,2.084589005
2011,1,1,2,30,0,0,0,0,0,0,3,15.16321022,990.2165527,45.85812076,151.304289,2.053827405,0,14.50730133,2.085224628
2011,1,1,3,30,0,0,0,0,0,0,4,14.95489201,989.6856689,49.66247697,138.1277898,2.119717883,0,10.07244873,1.985580325
2011,1,1,4,30,0,0,0,0,0,0,4,14.75391831,989.8219604,48.81027229,125.0354215,2.233531179,0,8.28603363,1.662329316
2011,1,1,5,30,0,0,0,0,0,0,0,6.543223539,988.2832031,62.42636799,112.1741629,0.735488923,0,322.782196,2.676529884
2011,1,1,6,30,0,0,0,0,0,0,0,6.256964706,988.8091431,63.39554858,99.64103383,0.716786038,0,314.0366516,2.459958315
2011,1,1,7,30,7,0,7,6,0,6,1,8.284764082,989.598938,60.92245876,87.63672054,0.701898106,0,304.5993652,2.296569586
2011,1,1,8,30,97,22,103,99,21,104,1,11.15818145,990.1373901,49.99388089,76.44527145,0.696020579,0,298.3634644,1.929630041
2011,1,1,9,30,166,12,171,168,13,174,3,14.60322918,990.7719116,45.87207893,66.4909494,0.698127896,0,296.3220825,1.689457417
2011,1,1,10,30,251,75,291,260,74,299,2,18.21140564,990.614502,35.34527641,58.42834155,0.701079854,0,310.1752625,2.336497784
2011,1,1,11,30,273,459,549,303,314,492,2,19.84437657,990.0238647,31.42059373,53.1377863,0.706544423,0,314.2694702,2.470676661
2011,1,1,12,30,208,668,624,324,251,481,2,20.56586326,989.2661743,29.69130285,51.48797404,0.712072144,0,314.2829285,2.527106285
2011,1,1,13,30,193,663,585,250,485,536,2,20.6180839,988.6165161,29.42175936,53.81671901,0.719898332,0,311.9523926,2.635348558
2011,1,1,14,30,177,600,481,204,517,465,1,19.97715911,988.081543,30.15622015,59.6576222,0.731088493,0,310.6647644,2.845380068
2011,1,1,15,30,156,460,328,180,357,313,2,18.62185843,988.159668,33.03634952,68.10732272,0.739424284,0,308.5517578,2.974667311
2011,1,1,16,30,98,180,135,98,86,116,3,15.87636357,988.2280884,42.35582959,78.31727594,0.739681791,0,301.96698,2.99255085
2011,1,1,17,30,0,0,0,0,0,0,3,13.82354413,988.4099121,48.51662472,89.6740226,0.724766842,0,299.5930176,3.345499992
2011,1,1,18,30,0,0,0,0,0,0,2,13.07259209,988.7766724,49.71370713,101.7897422,0.70340094,0,300.2987061,3.598365784
2011,1,1,19,30,0,0,0,0,0,0,2,12.37400568,989.0957642,50.82896258,114.3953737,0.681279494,0,302.223938,3.752247095
2011,1,1,20,30,0,0,0,0,0,0,2,11.67762973,989.1657104,52.01584898,127.3223348,0.65899897,0,304.191925,3.808777094
2011,1,1,21,30,0,0,0,0,0,0,1,10.97028146,988.8913574,53.69594683,140.4400174,0.633141399,0,305.1106567,3.762812376
2011,1,1,22,30,0,0,0,0,0,0,1,10.29901126,988.2824097,55.47000799,153.610445,0.605530139,0,305.6345215,3.674999952
2011,1,1,23,30,0,0,0,0,0,0,1,9.653633582,987.3598022,57.28874048,166.4819382,0.578530122,0,305.3490601,3.582970858
2011,1,2,0,30,0,0,0,0,0,0,1,9.054793166,986.7581787,58.89922723,174.4156645,0.552985383,0,304.4893799,3.496971369
